Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-01-24,1.282045501067137,1.2901087112711704,1.2497928140439463,1.2693463563919067,4044800,0.0,0.0
2003-01-27,1.2497927539005989,1.2518085179063676,1.2072597796551277,1.2469706535339355,4976000,0.0,0.0
2003-01-28,1.2659192508826853,1.3011960480395688,1.254832701293047,1.3005908727645874,2694400,0.0,0.0
2003-01-29,1.2901089537587636,1.2901089537587636,1.2558404192952493,1.2749907970428467,4854400,0.0,0.0
2003-01-30,1.2709586401868895,1.3001873662923686,1.2709586401868895,1.2931324243545532,3724800,0.0,0.0
2003-01-31,1.3001877630752334,1.3304246877979131,1.2685400956031174,1.3094604015350342,5248000,0.0,0.0
2003-02-03,1.3284089779224895,1.3503813778851859,1.323369797848452,1.3382866382598877,4316800,0.0,0.0
2003-02-04,1.342721297196309,1.3451403064317113,1.3274012129579849,1.3374801874160767,2604800,0.0,0.0
2003-02-05,1.3304244038799886,1.3703372036652728,1.3304244038799886,1.3586455583572388,2864000,0.0,0.0
2003-02-06,1.3707405634552627,1.3908985129178402,1.3409067305817506,1.373361349105835,1091200,0.0,0.0
2003-02-07,1.3707402406205778,1.3908981853355864,1.3505822959055693,1.372756004333496,1088000,0.0,0.0
2003-02-10,1.3882787045216363,1.3882787045216363,1.3052278757095337,1.3052278757095337,2956800,0.0,0.0
2003-02-11,1.3102668446858277,1.3153066401359332,1.261686492336957,1.2721686363220215,2188800,0.0,0.0
2003-02-12,1.2606782280324427,1.3102667672293529,1.2598718915666853,1.2699508666992188,1763200,0.0,0.0
2003-02-13,1.280029953769429,1.3011961725018129,1.270959167563531,1.2959550619125366,1952000,0.0,0.0
2003-02-14,1.287085406287826,1.315306488945395,1.2677337166724814,1.3116780519485474,1529600,0.0,0.0
2003-02-18,1.3173221408888782,1.3525982412924182,1.3009939451045092,1.3392940759658813,2332800,0.0,0.0
2003-02-19,1.3213538012926218,1.3284087444320227,1.288092850238595,1.300187587738037,2499200,0.0,0.0
2003-02-20,1.3001879901557387,1.3112752335935496,1.2923267082441932,1.2997848987579346,950400,0.0,0.0
2003-02-21,1.3001877740840775,1.3018004469932503,1.280029824098278,1.2844645977020264,1648000,0.0,0.0
